呼應	verb echo; work in concert with	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">互相呼應</td><td style="width: 33.3333%;">echo each other</td><td style="width: 33.3333%;">hùxiāng hūyìng</td></tr></tbody></table>	呼應
暫時	noun 1 temporary; for the moment 2 temporarily; for the time being; for the moment	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">暫時現象</td><td style="width: 33.3333%;">transient phenomenon</td><td style="width: 33.3333%;">zànshí xiànxiàng</td></tr><tr><td style="width: 33.3333%;">暫時的需要</td><td style="width: 33.3333%;">temporary needs</td><td style="width: 33.3333%;">Zànshí de xūyào</td></tr><tr><td style="width: 33.3333%;">暫時利益服從長遠利益</td><td style="width: 33.3333%;">subordinate short-term interests to long-range (or long-term) ones</td><td style="width: 33.3333%;">Zànshí lìyì fúcóng chángyuǎn lìyì</td></tr><tr><td style="width: 33.3333%;">比賽的勝負是暫時的, 而友誼是長久的。</td><td style="width: 33.3333%;">The results of contests are transient, but friendship is lasting.</td><td style="width: 33.3333%;">Bǐsài de shèng-fù shì zànshí de, ér yǒuyì shì chángjiǔ de.</td></tr><tr><td style="width: 33.3333%;">暫時停刊</td><td style="width: 33.3333%;">(of a periodical, etc.) temporarily suspend publication</td><td style="width: 33.3333%;">Zànshí tíngkān</td></tr><tr><td style="width: 33.3333%;">他暫時來不了。</td><td style="width: 33.3333%;">He can’t come right away.</td><td style="width: 33.3333%;">Tā zànshí láibuliǎo.</td></tr><tr><td style="width: 33.3333%;">我暫時住在父母家裡。</td><td style="width: 33.3333%;">I’m staying with my parents for the time being.</td><td style="width: 33.3333%;">Wǒ zànshí zhù zài fùmǔ jiālǐ.</td></tr><tr><td style="width: 33.3333%;">這事暫時就這樣定了吧。</td><td style="width: 33.3333%;">Let’s make it a tentative decision.</td><td style="width: 33.3333%;">Zhè shì zànshí jiù zhèyàng dìng le ba.</td></tr></tbody></table>	暫時
情願	verb 1 be willing to 2 would rather; prefer	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">他很情願付這個價錢。</td><td style="width: 33.3333%;">He’s quite willing to pay the price.</td><td style="width: 33.3333%;">Tā hěn qíngyuàn fù zhège jiàqian.</td></tr></tbody></table>	情願
容貌	noun facial features; appearance; looks	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">容貌端莊</td><td style="width: 33.3333%;">have a pleasant appearance</td><td style="width: 33.3333%;">Róngmào duānzhuāng</td></tr><tr><td style="width: 33.3333%;">容貌嬌美</td><td style="width: 33.3333%;">look sweet and charming</td><td style="width: 33.3333%;">róngmào jiāoměi</td></tr><tr><td style="width: 33.3333%;">勿以容貌取人。</td><td style="width: 33.3333%;">Don’t judge people by their look.</td><td style="width: 33.3333%;">Wù yǐ róngmào qǔ rén.</td></tr><tr><td style="width: 33.3333%;">她的容貌已大不如前了。</td><td style="width: 33.3333%;">She had lost her looks.</td><td style="width: 33.3333%;">Tā de róngmào yǐ dà bù rú qián le.</td></tr></tbody></table>	容貌
區域	noun region; area; district	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">區域間合作</td><td style="width: 33.3333%;">inter-regional cooperation</td><td style="width: 33.3333%;">Qūyù jiān hézuò</td></tr></tbody></table>	區域
隔離	verb keep apart; isolate; separate; segregate	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">隔離病人</td><td style="width: 33.3333%;">isolate the patient</td><td style="width: 33.3333%;">gélí bìngrén</td></tr><tr><td style="width: 33.3333%;">隔離審查</td><td style="width: 33.3333%;">take sb. into custody and investigate the case</td><td style="width: 33.3333%;">gélí shěnchá</td></tr><tr><td style="width: 33.3333%;">種族隔離</td><td style="width: 33.3333%;">racial segregation; apartheid</td><td style="width: 33.3333%;">zhǒngzú gélí</td></tr></tbody></table>	隔離
飆升	verb (usu. of prices) rise quickly; rocket	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">價格飆升。</td><td style="width: 33.3333%;">The price rose sharply.</td><td style="width: 33.3333%;">jiàgé biāoshēng</td></tr></tbody></table>	飆升
逾	literary verb exceed; go beyond<br>adverb even more	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">逾額</td><td style="width: 33.3333%;">exceed the allowed amount</td><td style="width: 33.3333%;">yú'é</td></tr><tr><td style="width: 33.3333%;">逾牆而走</td><td style="width: 33.3333%;">vault the wall and run away</td><td style="width: 33.3333%;">yú qiáng ér zǒu</td></tr><tr><td style="width: 33.3333%;">年逾古稀</td><td style="width: 33.3333%;">over 70 years old</td><td style="width: 33.3333%;">niányúgǔxī</td></tr><tr><td style="width: 33.3333%;">情逾骨肉</td><td style="width: 33.3333%;">dearer than one’s own flesh and blood</td><td style="width: 33.3333%;">qíngyúgǔròu</td></tr><tr><td style="width: 33.3333%;">飲酒逾量</td><td style="width: 33.3333%;">drink to excess</td><td style="width: 33.3333%;">yǐnjiǔ yú liàng</td></tr><tr><td style="width: 33.3333%;">痛乃逾甚。</td><td style="width: 33.3333%;">Then the pain became even more acute.</td><td style="width: 33.3333%;">Tòng nǎi yú shèn.</td></tr></tbody></table>	逾
宗教	noun religion	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">信仰宗教</td><td style="width: 33.3333%;">believe in religion</td><td style="width: 33.3333%;">xìnyǎng zōngjiào</td></tr></tbody></table>	宗教
傳播	verb 1 disseminate; propagate; spread 2 physics propagate; propagation	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">傳播花粉</td><td style="width: 33.3333%;">carry pollen (from flower to flower); pollinate</td><td style="width: 33.3333%;">Chuánbō huāfěn</td></tr><tr><td style="width: 33.3333%;">傳播教義</td><td style="width: 33.3333%;">disseminate religious doctrines</td><td style="width: 33.3333%;">chuánbō jiàoyì</td></tr><tr><td style="width: 33.3333%;">傳播知識</td><td style="width: 33.3333%;">spread knowledge</td><td style="width: 33.3333%;">chuánbō zhīshí</td></tr><tr><td style="width: 33.3333%;">傳播消息</td><td style="width: 33.3333%;">spread news</td><td style="width: 33.3333%;">chuánbō xiāoxi</td></tr><tr><td style="width: 33.3333%;">制止疾病的傳播</td><td style="width: 33.3333%;">check the spread of the disease</td><td style="width: 33.3333%;">zhìzhǐ jíbìng de chuánbō</td></tr><tr><td style="width: 33.3333%;">散射傳播</td><td style="width: 33.3333%;">scatter propagation</td><td style="width: 33.3333%;">sǎnshè chuánbō</td></tr><tr><td style="width: 33.3333%;">直線傳播</td><td style="width: 33.3333%;">rectilinear propagation</td><td style="width: 33.3333%;">zhíxiàn chuánbō</td></tr><tr><td style="width: 33.3333%;">聲音經由振動傳播。</td><td style="width: 33.3333%;">Sound is propagated by vibrations.</td><td style="width: 33.3333%;">shēngyīn jīngyóu zhèndòng chuánbō.</td></tr></tbody></table>	傳播
捨棄	verb give up; abandon	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">捨棄親生骨肉</td><td style="width: 33.3333%;">abandon one’s own flesh and blood</td><td style="width: 33.3333%;">shěqì qīnshēng gǔròu</td></tr></tbody></table>	捨棄
頰	noun medicine cheek; bucca	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">兩頰紅潤</td><td style="width: 33.3333%;">with rosy cheeks</td><td style="width: 33.3333%;">liǎng jiá hóngrùn</td></tr><tr><td style="width: 33.3333%;">雙頰凹陷</td><td style="width: 33.3333%;">sunken (or hollow) cheeks</td><td style="width: 33.3333%;">shuāng jiá āoxiàn</td></tr></tbody></table>	頰
告誡	verb warn; admonish; caution; exhort	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">他再三告誡自己要謹慎行事。</td><td style="width: 33.3333%;">Again and again, he cautioned himself against rashness.</td><td style="width: 33.3333%;">tā zàisān gàojiè zìjǐ yào jǐnshèn xíngshì.</td></tr></tbody></table>	告誡
擊掌	verb 1 clap (one's hands); applaud 2 strike sb.'s palms with one's own (to make a vow)	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">擊掌為號</td><td style="width: 33.3333%;">signal by clapping hands</td><td style="width: 33.3333%;">jīzhǎngwéihào</td></tr><tr><td style="width: 33.3333%;">擊掌為盟</td><td style="width: 33.3333%;">clap each other’s hands to vow alliance</td><td style="width: 33.3333%;">jīzhǎng wéi méng</td></tr></tbody></table>	擊掌
首度	adverb (for) the first time	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">在這部電影中兩位著名影星首度合作。</td><td style="width: 33.3333%;">In this film, the two famous stars collaborated for the first time.</td><td style="width: 33.3333%;">Zài zhè bù diànyǐng zhōng liǎng wèi zhùmíng yǐngxīng shǒudù hézuò.</td></tr></tbody></table>	首度
情況	noun 1 circumstances; situation; condition; state of affairs 2 military situation	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">在許多情況下</td><td style="width: 33.3333%;">in many cases</td><td style="width: 33.3333%;">zài xǔduō qíngkuàng xià</td></tr><tr><td style="width: 33.3333%;">在這種情況下</td><td style="width: 33.3333%;">under these circumstances; such being the case</td><td style="width: 33.3333%;">zài zhèzhǒng qíngkuàng xià</td></tr><tr><td style="width: 33.3333%;">根據具體情況</td><td style="width: 33.3333%;">in accordance with specific conditions</td><td style="width: 33.3333%;">gēnjù jùtǐ qíngkuàng</td></tr><tr><td style="width: 33.3333%;">情況不明。</td><td style="width: 33.3333%;">The situation is not clear.</td><td style="width: 33.3333%;">Qíngkuàngbùmíng.</td></tr><tr><td style="width: 33.3333%;">那得看情況而定。</td><td style="width: 33.3333%;">That depends. or It all depends.</td><td style="width: 33.3333%;">Nà děi kàn qíngkuàng ér dìng.</td></tr><tr><td style="width: 33.3333%;">他們的情況怎麼樣？</td><td style="width: 33.3333%;">How do matters stand with them?</td><td style="width: 33.3333%;">Tāmen de qíngkuàng zěnmeyàng？</td></tr><tr><td style="width: 33.3333%;">現在情況不同了。</td><td style="width: 33.3333%;">Now things are different.</td><td style="width: 33.3333%;">Xiànzài qíngkuàng bùtóng le.</td></tr><tr><td style="width: 33.3333%;">這種情況必須改變。</td><td style="width: 33.3333%;">This state of affairs must change.</td><td style="width: 33.3333%;">Zhèzhǒng qíngkuàng bìxū gǎibiàn.</td></tr><tr><td style="width: 33.3333%;">前線有什麼情況？</td><td style="width: 33.3333%;">How is the situation at the front?</td><td style="width: 33.3333%;">Qiánxiàn yǒu shénme qíngkuàng？</td></tr><tr><td style="width: 33.3333%;">前面有情況, 做好戰鬥準備。</td><td style="width: 33.3333%;">There’s enemy activity ahead. Prepare for combat.</td><td style="width: 33.3333%;">Qiánmian yǒu qíngkuàng, zuòhǎo zhàndòu zhǔnbèi.</td></tr></tbody></table>	情況
確保	verb ensure; guarantee	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">確保質量</td><td style="width: 33.3333%;">guarantee quality</td><td style="width: 33.3333%;">Quèbǎo zhìliàng</td></tr><tr><td style="width: 33.3333%;">確保安全生產</td><td style="width: 33.3333%;">ensure safety in production</td><td style="width: 33.3333%;">Quèbǎo ānquán shēngchǎn</td></tr><tr><td style="width: 33.3333%;">確保不發生類似事件</td><td style="width: 33.3333%;">ensure against the occurrence of similar incidents</td><td style="width: 33.3333%;">Quèbǎo bù fāshēng lèisì shìjiàn</td></tr><tr><td style="width: 33.3333%;">要確保適時播種。</td><td style="width: 33.3333%;">Be sure to do the sowing in good time.</td><td style="width: 33.3333%;">Yào quèbǎo shìshí bōzhǒng.</td></tr></tbody></table>	確保
尋求	verb seek; explore; go in quest of	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">尋求庇護</td><td style="width: 33.3333%;">seek (or ask for) asylum</td><td style="width: 33.3333%;">xúnqiú bìhù</td></tr><tr><td style="width: 33.3333%;">尋求真理</td><td style="width: 33.3333%;">seek truth</td><td style="width: 33.3333%;">xúnqiú zhēnlǐ</td></tr><tr><td style="width: 33.3333%;">尋求知識</td><td style="width: 33.3333%;">seek knowledge</td><td style="width: 33.3333%;">Xúnqiú zhīshi</td></tr><tr><td style="width: 33.3333%;">尋求打開僵局的途徑</td><td style="width: 33.3333%;">explore possible paths for ending the stalemate</td><td style="width: 33.3333%;">xúnqiú dǎkāi jiāngjú de tújìng</td></tr></tbody></table>	尋求
解決	verb 1 solve; resolve; settle 2 dispose of; finish off	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">解決困難</td><td style="width: 33.3333%;">overcome a difficulty; find a way out of a difficulty</td><td style="width: 33.3333%;">jiějué kùnnan</td></tr><tr><td style="width: 33.3333%;">解決問題</td><td style="width: 33.3333%;">solve a problem; settle a question (or an issue); work out a solution</td><td style="width: 33.3333%;">jiějué wèntí</td></tr><tr><td style="width: 33.3333%;">解決爭端</td><td style="width: 33.3333%;">settle a dispute</td><td style="width: 33.3333%;">jiějué zhēngduān</td></tr><tr><td style="width: 33.3333%;">迅速解決戰鬥</td><td style="width: 33.3333%;">quick decisive battle</td><td style="width: 33.3333%;">Xùnsù jiějué zhàndòu</td></tr><tr><td style="width: 33.3333%;">不同的矛盾, 只有用不同的方法才能解決。</td><td style="width: 33.3333%;">Different problems can only be resolved by using different methods.</td><td style="width: 33.3333%;">bùtóng de máodùn, zhǐyǒu yòng bùtóng de fāngfǎ cáinéng jiějué.</td></tr><tr><td style="width: 33.3333%;">把剩菜解決了</td><td style="width: 33.3333%;">finish off leftovers</td><td style="width: 33.3333%;">bǎ shèngcài jiějué le</td></tr><tr><td style="width: 33.3333%;">這一仗把敵人全部解決了。</td><td style="width: 33.3333%;">That battle finished off all the enemy troops.</td><td style="width: 33.3333%;">zhè yī zhàng bǎ dírén quánbù jiějué le.</td></tr></tbody></table>	解決
方案	noun scheme; plan; programme	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">提出初步方案</td><td style="width: 33.3333%;">put forward a preliminary plan</td><td style="width: 33.3333%;">tíchū chūbù fāng'àn</td></tr></tbody></table>	方案
致力	verb devote oneself to; work for	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">致力於中醫學的研究</td><td style="width: 33.3333%;">devote (or dedicate) oneself to the study of traditional Chinese medicine</td><td style="width: 33.3333%;">Zhìlì yú zhōng yīxué de yánjiū</td></tr></tbody></table>	致力
提供	verb provide; supply; furnish; offer	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">提供貸款</td><td style="width: 33.3333%;">offer a loan</td><td style="width: 33.3333%;">tígōng dàikuǎn</td></tr><tr><td style="width: 33.3333%;">提供援助</td><td style="width: 33.3333%;">give aid; provide assistance</td><td style="width: 33.3333%;">tígōng yuánzhù</td></tr><tr><td style="width: 33.3333%;">提供新的證據</td><td style="width: 33.3333%;">furnish fresh evidence</td><td style="width: 33.3333%;">tígōng xīn de zhèngjù</td></tr><tr><td style="width: 33.3333%;">提供破案的線索</td><td style="width: 33.3333%;">come up with clues for solving the case</td><td style="width: 33.3333%;">tígōng pò'àn de xiànsuǒ</td></tr><tr><td style="width: 33.3333%;">為輕工業提供原料</td><td style="width: 33.3333%;">supply light industry with raw materials</td><td style="width: 33.3333%;">Wèi qīnggōngyè tígōng yuánliào</td></tr><tr><td style="width: 33.3333%;">歷史給我們提供了有益的經驗教訓。</td><td style="width: 33.3333%;">History affords us useful lessons.</td><td style="width: 33.3333%;">Lìshǐ gěi wǒmen tígōng le yǒuyì de jīngyàn jiàoxun.</td></tr></tbody></table>	提供
協助	verb assist; help; give assistance; provide help	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">副總理協助總理工作。</td><td style="width: 33.3333%;">The Vice-Premiers assist the Premier in his work.</td><td style="width: 33.3333%;">Fù zǒnglǐ xiézhù zǒnglǐ gōngzuò.</td></tr></tbody></table>	協助
急速	adverb very fast; at high speed; rapidly	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">急速運動</td><td style="width: 33.3333%;">rapid motion</td><td style="width: 33.3333%;">jísù yùndong</td></tr><tr><td style="width: 33.3333%;">情況急速變化。</td><td style="width: 33.3333%;">The situation changed quickly.</td><td style="width: 33.3333%;">Qíngkuàng jísù biànhuà.</td></tr><tr><td style="width: 33.3333%;">他的病情急速惡化。</td><td style="width: 33.3333%;">His condition rapidly worsened.</td><td style="width: 33.3333%;">Tā de bìngqíng jísù èhuà.</td></tr></tbody></table>	急速
批准	verb ratify; approve; sanction	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">批准條約</td><td style="width: 33.3333%;">ratify a treaty</td><td style="width: 33.3333%;">Pīzhǔn tiáoyuē</td></tr><tr><td style="width: 33.3333%;">計劃須經批准。</td><td style="width: 33.3333%;">The plan is subject to ratification (or approval).</td><td style="width: 33.3333%;">Jìhuà xū jīng pīzhǔn.</td></tr><tr><td style="width: 33.3333%;">大會批准了他的報告。</td><td style="width: 33.3333%;">The congress approved his report.</td><td style="width: 33.3333%;">Dàhuì pīzhǔn le tā de bàogào.</td></tr></tbody></table>	批准
支出	verb pay (money); expend; disburse noun expenses; expenditure; outlay; disbursement	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">收入與支出相抵。</td><td style="width: 33.3333%;">Income and expenditure balance out.</td><td style="width: 33.3333%;">Shōurù yǔ zhīchū xiāngdǐ.</td></tr></tbody></table>	支出
抗	verb 1 resist; combat; fight 3 contend with; be a match for	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">抗敵</td><td style="width: 33.3333%;">fight against the enemy</td><td style="width: 33.3333%;">kàngdí</td></tr><tr><td style="width: 33.3333%;">我抗了他幾句。</td><td style="width: 33.3333%;">I said a few words to him in retort. 2 refuse; defy</td><td style="width: 33.3333%;">Wǒ kàng le tā jǐ jù.</td></tr><tr><td style="width: 33.3333%;">違抗</td><td style="width: 33.3333%;">disobey; defy</td><td style="width: 33.3333%;">wéikàng</td></tr><tr><td style="width: 33.3333%;">分庭抗禮</td><td style="width: 33.3333%;">stand up to sb. as an equal; act independently and defiantly</td><td style="width: 33.3333%;">fēntíngkànglǐ</td></tr></tbody></table>	抗
上限	noun upper limit; ceiling (opp. 下限)	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">政府對進口原油的總量規定了上限。</td><td style="width: 33.3333%;">The government imposed a ceiling on imports of crude oil.</td><td style="width: 33.3333%;">Zhèngfǔ duì jìnkǒu yuányóu de zǒngliàng guīdìng le shàngxiàn.</td></tr></tbody></table>	上限
火速	adverb at top speed; posthaste	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">火速增援</td><td style="width: 33.3333%;">rush up reinforcements</td><td style="width: 33.3333%;">huǒsù zēngyuán</td></tr><tr><td style="width: 33.3333%;">警察火速趕到現場。</td><td style="width: 33.3333%;">The police rushed to the scene.</td><td style="width: 33.3333%;">Jǐngchá huǒsù gǎndào xiànchǎng.</td></tr><tr><td style="width: 33.3333%;">任務十分緊急, 必須火速完成。</td><td style="width: 33.3333%;">It’s an urgent task and must be completed at once.</td><td style="width: 33.3333%;">Rènwu shífēn jǐnjí, bìxū huǒsù wánchéng.</td></tr></tbody></table>	火速
振興	verb develop vigorously; promote	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">振興工業</td><td style="width: 33.3333%;">vigorously develop industry</td><td style="width: 33.3333%;">zhènxīng gōngyè</td></tr><tr><td style="width: 33.3333%;">振興中華</td><td style="width: 33.3333%;">rejuvenate China</td><td style="width: 33.3333%;">zhènxīng Zhōnghuá</td></tr><tr><td style="width: 33.3333%;">振興教育事業</td><td style="width: 33.3333%;">vitalize education</td><td style="width: 33.3333%;">zhènxīng jiàoyù shìyè</td></tr></tbody></table>	振興
出走	verb leave one's home (or country) under compulsion; run away; flee	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">倉卒出走</td><td style="width: 33.3333%;">leave in a hurry</td><td style="width: 33.3333%;">cāngzú chūzǒu</td></tr><tr><td style="width: 33.3333%;">離家出走</td><td style="width: 33.3333%;">go (or run) away from home</td><td style="width: 33.3333%;">líjiāchūzǒu</td></tr></tbody></table>	出走
源頭	noun fountainhead; source; headwater	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">民歌是文學的一個源頭。</td><td style="width: 33.3333%;">Folk songs are one of the sources of literature.</td><td style="width: 33.3333%;">Míngē shì wénxué de yī ge yuántóu.</td></tr></tbody></table>	源頭
解除	verb remove; relieve; get rid of	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">解除顧慮</td><td style="width: 33.3333%;">free one’s mind of apprehensions</td><td style="width: 33.3333%;">jiěchú gùlǜ</td></tr><tr><td style="width: 33.3333%;">解除合同</td><td style="width: 33.3333%;">rescind (or terminate) a contract</td><td style="width: 33.3333%;">jiěchú hétong</td></tr><tr><td style="width: 33.3333%;">解除婚約</td><td style="width: 33.3333%;">renounce an engagement</td><td style="width: 33.3333%;">jiěchú hūnyuē</td></tr><tr><td style="width: 33.3333%;">解除禁令</td><td style="width: 33.3333%;">lift a ban</td><td style="width: 33.3333%;">jiěchú jìnlìng</td></tr><tr><td style="width: 33.3333%;">解除警報</td><td style="width: 33.3333%;">sound the all-clear</td><td style="width: 33.3333%;">jiěchú jǐngbào</td></tr><tr><td style="width: 33.3333%;">解除武裝</td><td style="width: 33.3333%;">disarm</td><td style="width: 33.3333%;">jiěchú wǔzhuāng</td></tr><tr><td style="width: 33.3333%;">解除職務</td><td style="width: 33.3333%;">remove from post; relieve of office</td><td style="width: 33.3333%;">jiěchú zhíwù</td></tr><tr><td style="width: 33.3333%;">解除勞動關係</td><td style="width: 33.3333%;">sever labour relations</td><td style="width: 33.3333%;">jiěchú láodòng guānxi</td></tr><tr><td style="width: 33.3333%;">解除思想負擔</td><td style="width: 33.3333%;">take a load off one’s mind; ease a mental burden</td><td style="width: 33.3333%;">jiěchú sīxiǎng fùdān</td></tr><tr><td style="width: 33.3333%;">旱象已經解除。</td><td style="width: 33.3333%;">The dry spell is over.</td><td style="width: 33.3333%;">Hànxiàng yǐjing jiěchú.</td></tr></tbody></table>	解除
封鎖	verb block or seal off (through military or other compulsory means); blockade	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">封鎖邊境</td><td style="width: 33.3333%;">close the border</td><td style="width: 33.3333%;">fēngsuǒ biānjìng</td></tr><tr><td style="width: 33.3333%;">封鎖港口</td><td style="width: 33.3333%;">blockade a port</td><td style="width: 33.3333%;">fēngsuǒ gǎngkǒu</td></tr><tr><td style="width: 33.3333%;">封鎖消息</td><td style="width: 33.3333%;">block the passage of information</td><td style="width: 33.3333%;">fēngsuǒ xiāoxi</td></tr><tr><td style="width: 33.3333%;">解除封鎖</td><td style="width: 33.3333%;">lift a blockade</td><td style="width: 33.3333%;">jiěchú fēngsuǒ</td></tr><tr><td style="width: 33.3333%;">經濟封鎖</td><td style="width: 33.3333%;">economic blockade</td><td style="width: 33.3333%;">jīngjì fēngsuǒ</td></tr></tbody></table>	封鎖
揮手	verb wave one's hand; wave	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">揮手告別</td><td style="width: 33.3333%;">wave farewell; wave good-bye</td><td style="width: 33.3333%;">huīshǒugàobié</td></tr><tr><td style="width: 33.3333%;">揮手致意</td><td style="width: 33.3333%;">wave greetings to; wave to sb. in acknowledgment</td><td style="width: 33.3333%;">huīshǒuzhìyì</td></tr></tbody></table>	揮手
基於	preposition because of; in view of	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">基於生活, 高於生活</td><td style="width: 33.3333%;">based on life yet on a higher level than it</td><td style="width: 33.3333%;">jīyú shēnghuó, gāoyú shēnghuó</td></tr><tr><td style="width: 33.3333%;">基於以上理由, 我不贊同他的意見。</td><td style="width: 33.3333%;">For the above-mentioned reasons, I cannot agree with him.</td><td style="width: 33.3333%;">Jīyú yǐshàng lǐyóu, wǒ bù zàntóng tā de yìjian.</td></tr></tbody></table>	基於
傳染	verb infect; be contagious	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">水傳染</td><td style="width: 33.3333%;">waterborne infection</td><td style="width: 33.3333%;">shuǐ chuánrǎn</td></tr><tr><td style="width: 33.3333%;">接觸傳染</td><td style="width: 33.3333%;">contagion</td><td style="width: 33.3333%;">jiēchù chuánrǎn</td></tr><tr><td style="width: 33.3333%;">空氣傳染</td><td style="width: 33.3333%;">infection through air</td><td style="width: 33.3333%;">kōngqì chuánrǎn</td></tr><tr><td style="width: 33.3333%;">這病不傳染。</td><td style="width: 33.3333%;">This disease is not contagious (or infectious).</td><td style="width: 33.3333%;">Zhè bìng bù chuánrǎn.</td></tr><tr><td style="width: 33.3333%;">感冒很容易傳染。</td><td style="width: 33.3333%;">Colds are highly infectious.</td><td style="width: 33.3333%;">Gǎnmào hěn róngyì chuánrǎn.</td></tr><tr><td style="width: 33.3333%;">她低沉的情緒很快傳染給了班上其他同學。</td><td style="width: 33.3333%;">Her gloomy mood soon infected other students in the class.</td><td style="width: 33.3333%;">Tā dīchén de qíngxù hěn kuài chuánrǎn gěi le bān shàng qítā tóngxué.</td></tr></tbody></table>	傳染
拒絕	verb refuse; reject; turn down; decline	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">拒絕參加</td><td style="width: 33.3333%;">refuse to participate</td><td style="width: 33.3333%;">jùjué cānjiā</td></tr><tr><td style="width: 33.3333%;">拒絕發表意見</td><td style="width: 33.3333%;">refuse to comment</td><td style="width: 33.3333%;">jùjué fābiǎo yìjian</td></tr><tr><td style="width: 33.3333%;">拒絕無理要求</td><td style="width: 33.3333%;">turn down (or reject) unreasonable demands</td><td style="width: 33.3333%;">jùjué wúlǐ yāoqiú</td></tr><tr><td style="width: 33.3333%;">拒絕別人的批評</td><td style="width: 33.3333%;">reject other’s criticism</td><td style="width: 33.3333%;">jùjué biéren de pīpíng</td></tr><tr><td style="width: 33.3333%;">斷然拒絕</td><td style="width: 33.3333%;">flat refusal</td><td style="width: 33.3333%;">duànránjùjué</td></tr><tr><td style="width: 33.3333%;">婉言拒絕</td><td style="width: 33.3333%;">graciously decline</td><td style="width: 33.3333%;">wǎnyánjùjué</td></tr></tbody></table>	拒絕
巨擘	noun 1 archaic thumb 2 literary authority in a certain field	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">文學巨擘</td><td style="width: 33.3333%;">literary master</td><td style="width: 33.3333%;">wénxué jùbò</td></tr><tr><td style="width: 33.3333%;">醫界巨擘</td><td style="width: 33.3333%;">leading medical authority</td><td style="width: 33.3333%;">yī jiè jùbò</td></tr></tbody></table>	巨擘
鼓勵	verb encourage; urge	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">老師鼓勵大家多說英語。</td><td style="width: 33.3333%;">Our teacher encouraged us to speak English as much as possible.</td><td style="width: 33.3333%;">Lǎoshī gǔlì dàjiā duō shuō Yīngyǔ.</td></tr></tbody></table>	鼓勵
